datet,grid,solar,tariff
2014-07-08 00:00:00,0.758,0.001,0.36965
2014-07-08 00:15:00,0.702,0.001,0.36965
2014-07-08 00:30:00,0.637,0.002,0.36965
2014-07-08 00:45:00,0.926,0.001,0.36965
2014-07-08 01:00:00,0.677,0.002,0.36965
2014-07-08 01:15:00,0.406,0.0,0.36965
2014-07-08 01:30:00,0.412,0.0,0.36965
2014-07-08 01:45:00,0.288,0.0,0.36965
2014-07-08 02:00:00,0.318,0.0,0.36965
2014-07-08 02:15:00,0.365,0.0,0.36965
2014-07-08 02:30:00,0.396,0.0,0.36965
2014-07-08 02:45:00,0.342,0.0,0.36965
2014-07-08 03:00:00,0.268,0.0,0.36965
2014-07-08 03:15:00,0.366,0.0,0.36965
2014-07-08 03:30:00,0.326,0.0,0.36965
2014-07-08 03:45:00,0.272,0.0,0.36965
2014-07-08 04:00:00,0.338,0.0,0.36965
2014-07-08 04:15:00,0.342,0.0,0.36965
2014-07-08 04:30:00,0.295,0.0,0.36965
2014-07-08 04:45:00,0.294,0.0,0.36965
2014-07-08 05:00:00,0.353,0.0,0.36965
2014-07-08 05:15:00,0.3,0.0,0.36965
2014-07-08 05:30:00,0.276,0.0,0.36965
2014-07-08 05:45:00,0.379,0.0,0.36965
2014-07-08 06:00:00,0.363,0.0,0.36965
2014-07-08 06:15:00,0.279,0.0,0.36965
2014-07-08 06:30:00,0.295,0.0,0.36965
2014-07-08 06:45:00,0.344,0.0,0.36965
2014-07-08 07:00:00,0.308,0.0,0.36965
2014-07-08 07:15:00,0.292,0.0,0.36965
2014-07-08 07:30:00,0.309,0.0,0.36965
2014-07-08 07:45:00,0.296,-0.001,0.36965
2014-07-08 08:00:00,0.256,0.003,0.36965
2014-07-08 08:15:00,0.22,0.024,0.36965
2014-07-08 08:30:00,0.317,0.059,0.36965
2014-07-08 08:45:00,0.148,0.106,0.36965
2014-07-08 09:00:00,-0.03,0.202,0.36965
2014-07-08 09:15:00,-0.016,0.245,0.36965
2014-07-08 09:30:00,0.005,0.259,0.36965
2014-07-08 09:45:00,-0.133,0.378,0.36965
2014-07-08 10:00:00,-0.44,0.626,0.36965
2014-07-08 10:15:00,-0.483,0.635,0.36965
2014-07-08 10:30:00,-0.551,0.7,0.36965
2014-07-08 10:45:00,-0.686,0.842,0.36965
2014-07-08 11:00:00,-0.697,0.947,0.36965
2014-07-08 11:15:00,-0.821,1.041,0.36965
2014-07-08 11:30:00,-0.887,1.123,0.36965
2014-07-08 11:45:00,-1.067,1.225,0.36965
2014-07-08 12:00:00,-1.181,1.336,0.36965
2014-07-08 12:15:00,-1.233,1.406,0.36965
2014-07-08 12:30:00,-1.272,1.488,0.36965
2014-07-08 12:45:00,-1.375,1.636,0.36965
2014-07-08 13:00:00,-1.48,1.699,0.36965
2014-07-08 13:15:00,-1.6,1.765,0.36965
2014-07-08 13:30:00,-1.631,1.809,0.36965
2014-07-08 13:45:00,-1.728,1.867,0.36965
2014-07-08 14:00:00,-1.393,1.651,0.36965
2014-07-08 14:15:00,-1.692,1.957,0.36965
2014-07-08 14:30:00,-1.727,1.935,0.36965
2014-07-08 14:45:00,-1.764,1.946,0.36965
2014-07-08 15:00:00,-1.782,1.915,0.36965
2014-07-08 15:15:00,-1.761,1.903,0.36965
2014-07-08 15:30:00,-1.615,1.899,0.36965
2014-07-08 15:45:00,-1.612,1.884,0.36965
2014-07-08 16:00:00,-1.633,1.849,0.49271
2014-07-08 16:15:00,-1.64,1.811,0.49271
2014-07-08 16:30:00,-1.591,1.776,0.49271
2014-07-08 16:45:00,-1.531,1.72,0.49271
2014-07-08 17:00:00,-1.45,1.674,0.49271
2014-07-08 17:15:00,-1.358,1.619,0.49271
2014-07-08 17:30:00,-1.31,1.545,0.49271
2014-07-08 17:45:00,-1.324,1.475,0.49271
2014-07-08 18:00:00,-1.228,1.389,0.49271
2014-07-08 18:15:00,-1.112,1.303,0.49271
2014-07-08 18:30:00,-0.968,1.207,0.49271
2014-07-08 18:45:00,-0.862,1.105,0.49271
2014-07-08 19:00:00,-0.773,1.0,0.49271
2014-07-08 19:15:00,-0.76,0.896,0.49271
2014-07-08 19:30:00,-0.612,0.784,0.49271
2014-07-08 19:45:00,-0.483,0.671,0.49271
2014-07-08 20:00:00,-0.328,0.555,0.49271
2014-07-08 20:15:00,-0.185,0.441,0.49271
2014-07-08 20:30:00,-0.151,0.332,0.49271
2014-07-08 20:45:00,-0.062,0.232,0.49271
2014-07-08 21:00:00,-0.005,0.14,0.36965
2014-07-08 21:15:00,0.168,0.032,0.36965
2014-07-08 21:30:00,0.209,0.011,0.36965
2014-07-08 21:45:00,0.262,-0.006,0.36965
2014-07-08 22:00:00,0.297,-0.015,0.36965
2014-07-08 22:15:00,0.466,-0.006,0.36965
2014-07-08 22:30:00,0.449,0.0,0.36965
2014-07-08 22:45:00,0.539,0.0,0.36965
2014-07-08 23:00:00,0.629,0.0,0.36965
2014-07-08 23:15:00,0.376,0.0,0.36965
2014-07-08 23:30:00,0.823,0.0,0.36965
2014-07-08 23:45:00,0.464,0.0,0.36965
2014-07-09 00:00:00,0.419,0.0,0.36965
2014-07-09 00:15:00,0.313,0.0,0.36965
2014-07-09 00:30:00,0.522,0.0,0.36965
2014-07-09 00:45:00,0.518,0.001,0.36965
2014-07-09 01:00:00,0.307,0.0,0.36965
2014-07-09 01:15:00,0.332,0.0,0.36965
2014-07-09 01:30:00,0.346,0.0,0.36965
2014-07-09 01:45:00,0.306,0.0,0.36965
2014-07-09 02:00:00,0.231,0.0,0.36965
2014-07-09 02:15:00,0.259,0.0,0.36965
2014-07-09 02:30:00,0.239,0.0,0.36965
2014-07-09 02:45:00,0.328,0.0,0.36965
2014-07-09 03:00:00,0.327,0.0,0.36965
2014-07-09 03:15:00,0.276,0.0,0.36965
2014-07-09 03:30:00,0.233,0.0,0.36965
2014-07-09 03:45:00,0.232,0.0,0.36965
2014-07-09 04:00:00,0.291,0.0,0.36965
2014-07-09 04:15:00,0.312,0.0,0.36965
2014-07-09 04:30:00,0.338,0.0,0.36965
2014-07-09 04:45:00,0.242,0.0,0.36965
2014-07-09 05:00:00,0.229,0.0,0.36965
2014-07-09 05:15:00,0.259,0.0,0.36965
2014-07-09 05:30:00,0.286,0.0,0.36965
2014-07-09 05:45:00,0.342,0.0,0.36965
2014-07-09 06:00:00,0.301,0.0,0.36965
2014-07-09 06:15:00,0.217,0.0,0.36965
2014-07-09 06:30:00,0.261,0.0,0.36965
2014-07-09 06:45:00,0.249,0.0,0.36965
2014-07-09 07:00:00,0.324,0.0,0.36965
2014-07-09 07:15:00,0.318,0.0,0.36965
2014-07-09 07:30:00,0.27,0.0,0.36965
2014-07-09 07:45:00,0.239,0.0,0.36965
2014-07-09 08:00:00,0.138,0.0,0.36965
2014-07-09 08:15:00,0.169,0.012,0.36965
2014-07-09 08:30:00,0.18,0.054,0.36965
2014-07-09 08:45:00,0.133,0.081,0.36965
2014-07-09 09:00:00,0.2,0.136,0.36965
2014-07-09 09:15:00,0.073,0.189,0.36965
2014-07-09 09:30:00,-0.007,0.251,0.36965
2014-07-09 09:45:00,-0.024,0.296,0.36965
2014-07-09 10:00:00,-0.149,0.361,0.36965
2014-07-09 10:15:00,-0.218,0.371,0.36965
2014-07-09 10:30:00,-0.554,0.721,0.36965
2014-07-09 10:45:00,-0.742,0.865,0.36965
2014-07-09 11:00:00,-0.732,0.955,0.36965
2014-07-09 11:15:00,-0.822,1.051,0.36965
2014-07-09 11:30:00,-0.928,1.139,0.36965
2014-07-09 11:45:00,-1.079,1.243,0.36965
2014-07-09 12:00:00,-1.225,1.374,0.36965
2014-07-09 12:15:00,-1.28,1.44,0.36965
2014-07-09 12:30:00,-1.266,1.522,0.36965
2014-07-09 12:45:00,-1.453,1.67,0.36965
2014-07-09 13:00:00,-1.525,1.739,0.36965
2014-07-09 13:15:00,-1.647,1.79,0.36965
2014-07-09 13:30:00,-1.676,1.841,0.36965
2014-07-09 13:45:00,-1.67,1.877,0.36965
2014-07-09 14:00:00,-1.69,1.917,0.36965
2014-07-09 14:15:00,-1.694,1.949,0.36965
2014-07-09 14:30:00,-1.75,1.965,0.36965
2014-07-09 14:45:00,-1.744,1.963,0.36965
2014-07-09 15:00:00,-1.595,1.943,0.36965
2014-07-09 15:15:00,-1.391,1.933,0.36965
2014-07-09 15:30:00,-1.673,1.919,0.36965
2014-07-09 15:45:00,-1.623,1.91,0.36965
2014-07-09 16:00:00,-1.629,1.884,0.49271
2014-07-09 16:15:00,-1.668,1.847,0.49271
2014-07-09 16:30:00,-1.671,1.807,0.49271
2014-07-09 16:45:00,-1.513,1.758,0.49271
2014-07-09 17:00:00,-1.455,1.702,0.49271
2014-07-09 17:15:00,-1.406,1.645,0.49271
2014-07-09 17:30:00,-1.397,1.577,0.49271
2014-07-09 17:45:00,-1.332,1.499,0.49271
2014-07-09 18:00:00,-1.228,1.411,0.49271
2014-07-09 18:15:00,-1.072,1.321,0.49271
2014-07-09 18:30:00,-0.985,1.224,0.49271
2014-07-09 18:45:00,-0.895,1.122,0.49271
2014-07-09 19:00:00,-0.854,1.017,0.49271
2014-07-09 19:15:00,-0.774,0.909,0.49271
2014-07-09 19:30:00,-0.588,0.798,0.49271
2014-07-09 19:45:00,-0.463,0.68,0.49271
2014-07-09 20:00:00,-0.315,0.564,0.49271
2014-07-09 20:15:00,-0.235,0.449,0.49271
2014-07-09 20:30:00,-0.211,0.341,0.49271
2014-07-09 20:45:00,-0.07,0.24,0.49271
2014-07-09 21:00:00,0.353,0.143,0.36965
2014-07-09 21:15:00,0.212,0.029,0.36965
2014-07-09 21:30:00,0.21,0.01,0.36965
2014-07-09 21:45:00,0.241,-0.007,0.36965
2014-07-09 22:00:00,0.253,-0.015,0.36965
2014-07-09 22:15:00,0.491,-0.006,0.36965
2014-07-09 22:30:00,0.494,0.0,0.36965
2014-07-09 22:45:00,0.536,0.0,0.36965
2014-07-09 23:00:00,0.537,0.0,0.36965
2014-07-09 23:15:00,0.818,0.0,0.36965
2014-07-09 23:30:00,0.734,0.0,0.36965
2014-07-09 23:45:00,0.598,0.0,0.36965
2014-07-10 00:00:00,0.671,0.0,0.36965
2014-07-10 00:15:00,0.585,0.0,0.36965
2014-07-10 00:30:00,0.553,0.0,0.36965
2014-07-10 00:45:00,0.61,0.001,0.36965
2014-07-10 01:00:00,0.711,0.001,0.36965
2014-07-10 01:15:00,0.391,0.0,0.36965
2014-07-10 01:30:00,0.34,0.0,0.36965
2014-07-10 01:45:00,0.313,0.0,0.36965
2014-07-10 02:00:00,0.274,0.0,0.36965
2014-07-10 02:15:00,0.253,0.0,0.36965
2014-07-10 02:30:00,0.307,0.0,0.36965
2014-07-10 02:45:00,0.333,0.0,0.36965
2014-07-10 03:00:00,0.332,0.0,0.36965
2014-07-10 03:15:00,0.294,0.0,0.36965
2014-07-10 03:30:00,0.251,0.0,0.36965
2014-07-10 03:45:00,0.267,0.0,0.36965
2014-07-10 04:00:00,0.324,0.0,0.36965
2014-07-10 04:15:00,0.333,0.0,0.36965
2014-07-10 04:30:00,0.35,0.0,0.36965
2014-07-10 04:45:00,0.25,0.0,0.36965
2014-07-10 05:00:00,0.254,0.0,0.36965
2014-07-10 05:15:00,0.277,0.0,0.36965
2014-07-10 05:30:00,0.353,0.0,0.36965
2014-07-10 05:45:00,0.331,0.0,0.36965
2014-07-10 06:00:00,0.313,0.0,0.36965
2014-07-10 06:15:00,0.238,0.0,0.36965
2014-07-10 06:30:00,0.25,0.0,0.36965
2014-07-10 06:45:00,0.343,0.0,0.36965
2014-07-10 07:00:00,0.319,0.0,0.36965
2014-07-10 07:15:00,0.328,0.0,0.36965
2014-07-10 07:30:00,0.273,0.0,0.36965
2014-07-10 07:45:00,0.189,0.0,0.36965
2014-07-10 08:00:00,0.198,0.007,0.36965
2014-07-10 08:15:00,0.199,0.037,0.36965
2014-07-10 08:30:00,0.134,0.091,0.36965
2014-07-10 08:45:00,0.095,0.144,0.36965
2014-07-10 09:00:00,0.064,0.168,0.36965
2014-07-10 09:15:00,-0.025,0.217,0.36965
2014-07-10 09:30:00,0.101,0.221,0.36965
